CLASS,SMALL_OFFICE
HEADER,ENDUSE,DENSITY,DEMAND,ELECTRONIC,MOTORA,MOTORB,MOTORC,MOTORD,IP,IQ,PP,PQ,ZP,ZQ,PF
COMPOSITION,HEATING,0.01,0.1,0,0.3,0,0,0,0,0,0,0,0.7,0,1
COMPOSITION,COOLING,0.98,9.8,0.15,0.7,0,0.15,0,0,0,0,0,0,0,1
COMPOSITION,VENTILATION,0.34,3.4,0,0,1,0,0,0,0,0,0,0,0,1
COMPOSITION,HOTWATER,0.07,0.7,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,COOKING,0.04,0.4,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,REFRIGERATION,0.08,0.8,0,0.85,0,0,0.15,0,0,0,0,0,0,1
COMPOSITION,OUTDOOR_LIGHTS,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COMPOSITION,INDOOR_LIGHTS,1.05,10.5,0,0,0,0,0,1,0,0,0,0,0,1
COMPOSITION,OFFICE_EQUIPMENT,0.49,4.9,1,0,0,0,0,0,0,0,0,0,0,1
COMPOSITION,MISCELLANEOUS,0.24,2.4,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,PROCESS,0.01,0.1,0.3,0,0.2,0.4,0,0,0,0,0,0.1,0,1
COMPOSITION,MOTORS,0.24,2.4,0,0,0,0,1,0,0,0,0,0,0,1
COMPOSITION,COMPRESSORS,0.16,1.6,0,0,0,0,1,0,0,0,0,0,0,1
NORMALIZE,FLOORAREA,165,326,330,219,337,339,267,362,359,286,50,79,62,3180
HEADER,CEUSCODE,HEATING,COOLING,VENTILATION,HOTWATER,COOKING,REFRIGERATION,OUTDOOR_LIGHTS,INDOOR_LIGHTS,OFFICE_EQUIPMENT,MISCELLANEOUS,PROCESS,MOTORS,COMPRESSORS,TOTAL
DATA,1406,31.28908398,6.803903809,34.56156641,8.825708984,0.818287537,22.73598828,69.03686719,51.96438281,54.76115234,17.16479688,0.026859423,5.601276367,1.720859619,305
DATA,1407,34.82607031,6.897407227,37.06030859,8.96190332,1.286067993,22.78364063,56.33170703,62.09222656,58.39227344,18.98233789,0.030006308,5.993125,2.923969482,317
DATA,1408,34.39839844,7.771218262,39.01317969,9.173946289,2.011949463,22.86979688,7.786238281,78.41941406,63.83480078,22.18299023,0.035625202,6.919757813,4.007302734,298
DATA,1409,23.7789707,10.70217676,34.15926172,9.409357422,2.610671387,22.95707227,0,95.45279688,69.13714844,25.33244141,0.038047241,6.866154785,4.463648438,305
DATA,1410,18.36574023,19.940625,33.83719531,9.570625977,2.883003174,23.02370313,0,105.0624297,72.60548438,27.33695313,0.03875882,7.357934082,4.633711426,325
DATA,1411,13.23156543,27.47520508,34.95712109,9.60559082,2.87133374,23.03400391,0,105.2316797,73.56724219,27.88815039,0.039049709,7.446309082,4.611205566,330
DATA,1412,10.02421289,33.04003906,36.48691797,9.592923828,2.590494873,23.01192578,0,99.94699219,71.67633594,26.9286875,0.039066383,7.311209961,4.402657715,325
DATA,1413,8.42899707,36.88747656,36.14581641,9.556232422,2.07066333,22.97828125,0,91.84780469,67.66164844,24.54448047,0.039066383,6.942266602,4.067923584,311
DATA,1414,6.599260742,37.13349219,34.81389844,9.448257813,1.604437256,22.93252539,0,82.52736719,63.34769531,22.49569922,0.039047115,6.545433105,3.674317627,291
DATA,1415,6.288113281,35.27523438,31.99318359,9.328758789,1.285581665,22.90284766,0,73.69175781,60.19804297,20.98755273,0.038646767,6.205135254,3.250261475,271
DATA,1416,5.50435791,30.06772852,27.94039453,9.186588867,1.076091431,22.86537695,0,66.35972656,58.04832031,19.58600977,0.037024422,5.879977539,2.712026611,249
